WB_ID,Symbol,N2Fed_R2,N2Fed_R3,N2Fed_R5,N2Fed_R6,N2Starved_R2,N2Starved_R3,N2Starved_R5,N2Starved_R6,Daf2_R2,Daf2_R3,Daf2_R5,Daf2_R6,Daf2_Daf16_R2,Daf2_Daf16_R3,Daf2_Daf16_R5,Daf2_Daf16_R6,Daf16_R2,Daf16_R3,Daf16_R5,Daf16_R6,,,,
WBGene00000606,col-17,3452.833262,3626.020956,3685.853677,4282.676772,0.752673232,0.082197683,0.07195458,0.626587077,1.393426449,0.537979612,0.229560225,0.115659364,1.217755638,0.628960398,0.561792883,1.463384224,0.233705161,0.247304826,0,0.151322811,,,,
WBGene00002147,ire-1,83.16440068,85.72939698,81.31661007,75.99339827,95.06262919,101.7607319,98.64972913,107.0680667,95.99159981,95.82761842,89.22240759,96.69122847,86.53676005,92.38729397,83.947908,90.9249398,55.3102214,58.98220092,58.52406588,61.28573848,,,,
WBGene00003090,lys-1,454.3829349,493.0454156,449.6665876,455.5415284,136.6854589,145.4898994,137.6491115,113.4122609,106.7519485,114.9931421,113.5557915,104.1512575,182.0544679,197.3537959,158.7466176,173.0695743,153.8558976,133.6682583,132.3532059,124.3873507,,,,
WBGene00003096,lys-7,39.59452346,38.9310412,30.03008144,32.19247895,16.33300913,19.89183936,13.67137019,18.32767199,10.68293611,13.24774795,12.39625217,14.16827212,2.663840459,6.149834999,2.006403155,1.951178966,1.402230965,1.731133779,0.793009023,0.832275461,,,,
WBGene00003795,npp-9,286.0664566,267.4075893,285.2501085,326.113402,154.7496165,201.6309171,180.4620866,307.4192844,612.4883368,701.0546821,636.8000651,630.4013646,456.9628033,578.2242589,610.7491203,620.767588,148.8701875,208.6634466,183.7401906,214.5000847,,,,
WBGene00004114,pqn-25,21.62592446,21.493179,22.32640259,18.84875626,86.93375828,87.95152112,86.12963222,79.34158857,100.4041169,78.41052848,96.18573442,95.41897547,91.71222151,79.03935664,81.21919971,79.6081018,67.2291846,70.4200491,61.22029656,51.82806279,,,,
WBGene00006808,unc-76,32.75691499,36.25453212,39.58834964,35.72288092,60.74072981,51.29135437,51.51947926,59.68241904,49.77628925,53.52897141,50.96237003,51.29492802,45.2852878,54.37013215,54.09262905,50.73065311,91.84612821,97.87088475,95.00248093,98.5868114,,,,
WBGene00007237,WBGene00007237,8.586764123,8.516165263,8.345652086,8.317387684,11.44063312,7.808779913,11.15295989,11.12192061,8.670209015,10.42335499,6.73376661,9.194919454,9.818154834,9.15486801,9.06894226,9.65833588,18.77431459,18.3623833,16.33598587,18.83968998,,,,
WBGene00008447,WBGene00008447,6.917115544,7.137357554,11.84083971,8.018201077,28.14997887,28.02941,27.63055871,26.31665721,20.12727093,18.02231701,21.50214111,20.76085587,35.16269406,55.9075909,43.09753976,61.55969637,26.33078145,31.16040803,34.02008708,32.00477454,,,,
WBGene00008492,WBGene00008492,27.03240557,39.90431723,29.88742072,31.89329234,23.63393948,20.63161851,20.86682819,14.41150276,34.75824864,33.89271557,29.38370885,29.43530819,10.57925211,14.04678221,7.865100367,14.24360645,8.958697832,6.924535118,5.868266769,5.674605414,,,,
