WB_id,public_name,logFC
WBGene00045055,C16D9.11,6.896492337
WBGene00014541,W04D2.7,6.759660911
WBGene00017199,clec-45,6.181441758
WBGene00044975,F47G4.9,6.122110071
WBGene00009515,clec-170,5.700010276
WBGene00009859,clec-33,5.051725736
WBGene00009488,oac-20,5.041258107
WBGene00044687,B0563.9,5.035359386
WBGene00017691,ilys-5,5.009466683
WBGene00000785,cpr-5,5.006780757
WBGene00007829,oac-5,4.976804274
WBGene00018253,F40H6.1,4.823793988
WBGene00005441,srh-234,4.775645304
WBGene00006183,str-135,4.600857103
WBGene00013654,Y105C5B.15,4.569376111
WBGene00000008,aat-7,4.54524109
WBGene00044044,C08B6.14,4.487904209
WBGene00017677,F21F8.2,4.46352733
WBGene00019704,fbxb-40,4.459765405
WBGene00003734,nhx-6,4.436310564
WBGene00009854,clec-31,4.407394789
WBGene00011910,T22B3.2,4.385750934
WBGene00199989,D2024.16,4.288247346
WBGene00009237,F28H7.3,4.287954528
WBGene00019933,R07C12.3,4.284712318
WBGene00000784,cpr-4,4.25437596
WBGene00016502,C37C3.10,4.241041868
WBGene00044944,R151.13,4.185873485
WBGene00201679,R02D5.22,4.185873485
WBGene00015403,clec-10,4.14613587
WBGene00022932,C16D9.10,4.132855851
WBGene00009391,F35C5.3,4.12528685
WBGene00044137,F28H6.8,4.114257585
WBGene00006181,str-133,4.086828393
WBGene00199333,F45H11.10,4.038837709
WBGene00010271,F58G1.9,3.987572933
WBGene00012308,oac-53,3.97601386
WBGene00010124,F55G11.4,3.972800934
WBGene00015082,B0244.7,3.93893252
WBGene00017845,srsx-9,3.924609584
WBGene00044432,W03G9.9,3.877404107
WBGene00197011,F09C12.12,3.877404107
WBGene00007331,pho-11,3.841990275
WBGene00050916,F55F10.3,3.828601649
WBGene00201148,R04F11.26,3.809563656
WBGene00021136,W10G11.3,3.806188878
WBGene00010209,fbxa-191,3.776532145
WBGene00017899,F28C10.4,3.751195727
WBGene00015828,math-14,3.745737377
WBGene00009429,F35E12.5,3.737168069
WBGene00017556,F18A12.7,3.732809357
WBGene00023468,B0412.6,3.714848761
