WB_id,symbol,sequence,live_dead,type,logFC,logCPM,PValue,FDR
WBGene00005832,srw-85,C25F9.1,Live,protein_coding_gene,-4.310489052,5.114022438,2.62E-231,3.75E-227
WBGene00219313,,C17E4.20,Live,protein_coding_gene,-6.60294747,4.139711883,6.50E-201,4.65E-197
WBGene00008905,,F17B5.1,Live,protein_coding_gene,-7.228128173,5.168360929,6.63E-199,3.16E-195
WBGene00011362,cest-1.1,T02B5.1,Live,protein_coding_gene,-7.291974673,3.442929313,8.88E-131,3.18E-127
WBGene00015403,clec-10,C03H5.1,Live,protein_coding_gene,3.257212055,5.586592156,2.64E-107,7.57E-104
WBGene00018174,,F38B6.4,Live,protein_coding_gene,-4.489812836,5.154157309,1.19E-101,2.85E-98
WBGene00003473,mtl-1,K11G9.6,Live,protein_coding_gene,-4.767916689,4.875388082,4.19E-101,8.57E-98
WBGene00008850,,F15B9.6,Live,protein_coding_gene,-5.108112542,3.492883732,1.40E-83,2.51E-80
WBGene00018850,gpx-8,F55A3.5,Live,protein_coding_gene,2.863437753,4.061314378,6.70E-83,1.07E-79
WBGene00001852,hil-1,C30G7.1,Live,protein_coding_gene,-2.442714129,6.208963339,2.57E-82,3.69E-79
WBGene00009908,,F49H6.5,Live,protein_coding_gene,2.865573058,4.235820541,5.82E-81,7.58E-78
WBGene00000782,cpr-2,F36D3.9,Live,protein_coding_gene,-5.142788962,5.806342843,6.28E-79,7.50E-76
WBGene00019376,lipl-4,K04A8.5,Live,protein_coding_gene,-4.912910669,2.516938104,6.31E-78,6.95E-75
WBGene00018602,,F48D6.4,Live,protein_coding_gene,-2.262994765,7.19337549,4.33E-73,4.43E-70
WBGene00003778,nnt-1,C15H9.1,Live,protein_coding_gene,-2.632669021,5.908080196,1.80E-66,1.72E-63
WBGene00017501,pud-3,F15E11.15,Live,protein_coding_gene,-4.920686175,7.584528554,3.10E-64,2.77E-61
WBGene00001692,grd-3,W05E7.1,Live,protein_coding_gene,-3.952209999,5.035546946,1.33E-62,1.12E-59
WBGene00017128,,E04F6.9,Live,protein_coding_gene,-2.222071651,5.064204822,4.78E-62,3.80E-59
WBGene00015393,exc-13,C03G6.5,Live,protein_coding_gene,-2.031850729,4.966716099,1.88E-61,1.42E-58
WBGene00003957,pcp-2,F23B2.12,Live,protein_coding_gene,2.930332946,5.365754579,4.94E-60,3.54E-57
WBGene00020909,,W01A11.1,Live,protein_coding_gene,-1.953139924,5.606508126,1.50E-58,1.02E-55
WBGene00002113,ins-30,ZC334.2,Live,protein_coding_gene,-2.476481161,4.088510267,1.58E-58,1.03E-55
WBGene00001694,grd-5,F41E6.2,Live,protein_coding_gene,-3.931925715,5.49029757,6.09E-58,3.79E-55
WBGene00000784,cpr-4,F44C4.3,Live,protein_coding_gene,2.588040997,10.50140922,1.60E-57,9.57E-55
WBGene00020326,math-38,T07H3.3,Live,protein_coding_gene,2.377748945,3.791410324,2.25E-52,1.29E-49
WBGene00012404,,Y6G8.2,Live,protein_coding_gene,-2.308039108,5.897174632,1.55E-51,8.56E-49
WBGene00019931,,R07C12.1,Live,protein_coding_gene,3.751963696,2.371507287,3.74E-50,1.98E-47
WBGene00014047,clec-61,ZK666.7,Live,protein_coding_gene,-4.708057178,2.798767154,2.35E-49,1.20E-46
WBGene00008567,acox-1.4,F08A8.4,Live,protein_coding_gene,-2.980969947,4.544053399,3.04E-49,1.50E-46
WBGene00007452,,C08F11.3,Live,protein_coding_gene,-3.87359128,2.07899289,3.90E-48,1.86E-45
WBGene00219216,,K08D10.14,Live,protein_coding_gene,2.666105714,3.180650689,5.10E-48,2.36E-45
WBGene00011733,,T12D8.5,Live,protein_coding_gene,-2.303810692,5.357834159,2.78E-47,1.25E-44
WBGene00003096,lys-7,C02A12.4,Live,protein_coding_gene,-3.795626601,3.871834213,1.91E-45,8.28E-43
WBGene00017374,ttr-41,F10G7.11,Live,protein_coding_gene,-1.36241184,6.549877961,2.56E-43,1.08E-40
WBGene00008296,cdr-2,C54D10.1,Live,protein_coding_gene,-2.553686505,4.120236814,4.36E-42,1.78E-39
WBGene00000975,dhs-12,K08F4.9,Live,protein_coding_gene,-1.514202296,5.275948895,5.25E-41,2.09E-38
WBGene00017969,ctsa-3.1,F32A5.3,Live,protein_coding_gene,1.389364651,5.869724933,1.24E-38,4.82E-36
WBGene00012546,,Y37D8A.4,Live,protein_coding_gene,1.763064682,4.46145059,1.31E-38,4.94E-36
WBGene00020329,bath-26,T07H3.6,Live,protein_coding_gene,-1.862839476,3.938233832,2.35E-38,8.62E-36
WBGene00010399,clec-13,H16D19.1,Live,protein_coding_gene,-2.556023835,5.11953159,9.84E-38,3.52E-35
WBGene00000656,col-80,C09G5.5,Live,protein_coding_gene,-2.537465873,6.179144856,4.15E-37,1.45E-34
WBGene00000912,daf-16,R13H8.1,Live,protein_coding_gene,-1.648740386,7.372622345,4.95E-37,1.69E-34
WBGene00000785,cpr-5,W07B8.5,Live,protein_coding_gene,2.656236731,9.057300163,6.54E-36,2.18E-33
WBGene00009835,,F47H4.2,Live,protein_coding_gene,-1.642100315,4.975648376,8.11E-36,2.64E-33
WBGene00012615,dct-16,Y38H6C.1,Live,protein_coding_gene,-1.772160581,6.311024974,1.01E-35,3.20E-33
WBGene00007963,cyp-25A1,C36A4.1,Live,protein_coding_gene,-3.095406265,2.30482082,1.27E-35,3.95E-33
WBGene00019674,,K12C11.3,Live,protein_coding_gene,2.92977745,1.974692213,5.74E-35,1.75E-32
WBGene00022497,,Y119D3B.21,Live,protein_coding_gene,-1.456815405,6.195614099,8.17E-35,2.44E-32
WBGene00017592,,F19C7.2,Live,protein_coding_gene,2.36296768,4.513982639,9.63E-35,2.82E-32
