WB_id	symbol	sequence	live_dead	type	logFC	logCPM	PValue	FDR
1	WBGene00000001	aap-1	Y110A7A.10	Live	protein_coding_gene	0.351383789623902	2.79732775962249	0.0643528149306084	0.0812967288909036
2	WBGene00000002	aat-1	F27C8.1	Live	protein_coding_gene	-1.05604977159496	4.60764724349965	3.97584275162174e-25	2.48546573062971e-24
3	WBGene00000003	aat-2	F07C3.7	Live	protein_coding_gene	0.811570196541017	5.42107530748434	3.09522379637739e-16	1.25651346971987e-15
4	WBGene00000004	aat-3	F52H2.2	Live	protein_coding_gene	0.304964142086251	5.77620400720705	0.00172621149066997	0.00265922350966713
5	WBGene00000005	aat-4	T13A10.10	Live	protein_coding_gene	-3.86482014085083	2.15840676161366	2.64398272639728e-85	9.65997974680148e-84
6	WBGene00000006	aat-5	C55C2.5	Live	protein_coding_gene	0.800002079461656	6.41790423838519	9.95868567658441e-14	3.52429691771786e-13
7	WBGene00000007	aat-6	T11F9.4	Live	protein_coding_gene	0.141722938212679	4.54126042449288	0.309633820971795	0.349316706101461
8	WBGene00000008	aat-7	F54D12.3	Live	protein_coding_gene	-0.0430426882255984	0.896114477505206	0.999999999999999	1
9	WBGene00000009	aat-8	F28F9.4	Live	protein_coding_gene	1.84961994117275	1.90760347662332	3.3593201401334e-12	1.08068695074103e-11
10	WBGene00000010	aat-9	Y53H1C.1	Live	protein_coding_gene	-0.740825301340661	3.20509483195806	3.51533680180226e-07	7.75322731055827e-07
11	WBGene00000013	abf-2	C50F2.10	Live	protein_coding_gene	-2.66781538167005	1.12006979583875	5.02453544919738e-17	2.13662104226262e-16
12	WBGene00000016	abf-5	T22H6.5	Live	protein_coding_gene	2.44170087840935	4.243499144033	1.18337915314302e-40	1.32099425029729e-39
13	WBGene00000017	abf-6	T22H6.7	Live	protein_coding_gene	2.89838306966006	5.81241244375732	4.79091710214414e-52	7.54016645460532e-51
14	WBGene00000018	abl-1	M79.1	Live	protein_coding_gene	-0.10513134120746	6.07640279077328	0.255663182001503	0.292811522800922
15	WBGene00000020	abt-2	F12B6.1	Live	protein_coding_gene	0.909300617999645	6.62963911575956	1.0101119434887e-20	5.1889609952099e-20
16	WBGene00000022	abt-4	Y39D8C.1	Live	protein_coding_gene	0.347660006697629	5.77666591788993	0.00106880535723235	0.00168324503257992
17	WBGene00000023	abt-5	Y53C10A.9	Live	protein_coding_gene	0.0751765479916897	1.04860360575619	0.834248701178144	0.855024323620537
18	WBGene00000024	abu-1	AC3.3	Live	protein_coding_gene	-1.86428106182137	0.796402399831387	0.0701901707995945	0.0881037358625585
19	WBGene00000030	abu-7	C03A7.8	Live	protein_coding_gene	-1.83159465865011	2.07273635685035	0.0714939030094412	0.0895831740071056
20	WBGene00000031	abu-8	C03A7.14	Live	protein_coding_gene	-0.64525028535473	4.84409979080011	0.465415613240522	0.507436237273962
21	WBGene00000033	abu-10	F35A5.3	Live	protein_coding_gene	0.424628046975827	3.46866958950472	0.652833743455808	0.688301301072886
22	WBGene00000034	abu-11	T01D1.6	Live	protein_coding_gene	-1.02614149973177	3.59039666506211	0.2818283810162	0.320192453824688
23	WBGene00000035	ace-1	W09B12.1	Live	protein_coding_gene	0.312179822384725	4.78342149442489	0.0247031352763429	0.0330158924438021
24	WBGene00000036	ace-2	Y44E3A.2	Live	protein_coding_gene	0.77217449212771	6.5071085009649	2.00808019736303e-12	6.56165288310136e-12
25	WBGene00000037	ace-3	Y48B6A.8	Live	protein_coding_gene	1.1622747236356	5.2624846685486	9.23257405877875e-24	5.43034602340161e-23
26	WBGene00000038	ace-4	Y48B6A.7	Live	protein_coding_gene	1.47307356917093	2.74514394181639	3.23761412232584e-14	1.17568735953222e-13
27	WBGene00000039	acn-1	C42D8.5	Live	protein_coding_gene	-6.70206589991213	6.80530374318768	1.39724103452725e-15	5.48104248055309e-15
28	WBGene00000040	aco-1	ZK455.1	Live	protein_coding_gene	-0.647814228264794	9.49387129705551	3.40720512475096e-07	7.53287925234382e-07
29	WBGene00000041	aco-2	F54H12.1	Live	protein_coding_gene	0.938761259511807	10.9544761923881	2.60166878462387e-24	1.56493491530378e-23
30	WBGene00000042	acr-2	K11G12.2	Live	protein_coding_gene	0.846613032017495	2.52785795966105	1.24511637713863e-05	2.38371297331634e-05
31	WBGene00000043	acr-3	K11G12.7	Live	protein_coding_gene	-0.0342900172183729	1.2927897749614	0.956296549720459	0.96363042180373
32	WBGene00000044	acr-5	K03F8.2	Live	protein_coding_gene	1.28607790339622	2.37760703274658	6.74861944076605e-11	1.9761547256318e-10
33	WBGene00000046	acr-7	T09A5.3	Live	protein_coding_gene	1.00358252131501	1.66898954971233	8.53901235487707e-06	1.65937225164925e-05
34	WBGene00000047	acr-8	ZC504.2	Live	protein_coding_gene	-1.02290776695328	3.33872693411809	1.45154372287014e-15	5.6831627115763e-15
35	WBGene00000048	acr-9	C40C9.2	Live	protein_coding_gene	-0.0523361369832407	1.45045328372037	0.883944614869596	0.899776458718006
36	WBGene00000049	acr-10	R02E12.8	Live	protein_coding_gene	0.0744918486749631	1.02735598387177	0.751513216586502	0.779996542354655
37	WBGene00000050	acr-11	D2092.3	Live	protein_coding_gene	0.317660435107135	1.52705140942035	0.211990977855898	0.246159784729379
38	WBGene00000051	acr-12	R01E6.4	Live	protein_coding_gene	0.710482475906777	3.14179639772096	0.00319624985735561	0.00476790859879669
39	WBGene00000053	acr-14	T05C12.2	Live	protein_coding_gene	-0.119787286327484	0.587206406447916	0.78059553970091	0.806557197864255
40	WBGene00000054	acr-15	F25G6.4	Live	protein_coding_gene	-0.23932826258011	3.1499622743955	0.110119637816307	0.134361343738725
41	WBGene00000055	acr-16	F25G6.3	Live	protein_coding_gene	-0.204194143313392	3.11103064333948	0.194108055649412	0.227106900825985
42	WBGene00000056	acr-17	F53E10.2	Live	protein_coding_gene	1.77734647675299	1.46191283054122	3.40896103851122e-10	9.50421257417903e-10
43	WBGene00000057	acr-18	F28F8.1	Live	protein_coding_gene	1.78345261033186	2.48591499271124	3.65367709719715e-19	1.74252292327864e-18
44	WBGene00000058	acr-19	C31H5.3	Live	protein_coding_gene	1.67193709177461	4.13776993901495	1.49661555044201e-26	9.97883049973483e-26
45	WBGene00000059	acr-20	R06A4.10	Live	protein_coding_gene	1.39854549185588	3.26960859739533	1.55167215025712e-20	7.880513665242e-20
46	WBGene00000060	acr-21	F27B3.2	Live	protein_coding_gene	0.926958072210541	2.88697680998091	6.23499001461818e-08	1.46557569324408e-07
47	WBGene00000061	lgc-11	F48E3.7	Live	protein_coding_gene	2.50645072850489	2.96496485533743	3.97630543778088e-34	3.52623198017943e-33
48	WBGene00000062	acr-23	F59B1.9	Live	protein_coding_gene	0.474012537779584	1.63159448287587	0.044122898915011	0.0570538243283484
49	WBGene00000063	act-1	T04C12.6	Live	protein_coding_gene	-0.179814574371348	9.60953466534141	0.0975088699609544	0.12002767817626
50	WBGene00000064	act-2	T04C12.5	Live	protein_coding_gene	-1.46281294989387	7.55856311367002	3.85712133469118e-27	2.63180999311325e-26
51	WBGene00000065	act-3	T04C12.4	Live	protein_coding_gene	-0.237018805390706	8.41614426946574	0.0412603360936205	0.053565131756058
52	WBGene00000066	act-4	M03F4.2	Live	protein_coding_gene	0.0114573176279645	10.7420637236655	0.926966134815335	0.937571255849239
53	WBGene00000067	act-5	T25C8.2	Live	protein_coding_gene	-1.55422963200797	9.22656010192643	1.75962068482965e-65	3.91324339256681e-64
54	WBGene00000068	acy-1	F17C8.1	Live	protein_coding_gene	0.930516643736642	6.71130297621441	4.63312327526847e-29	3.43633306827525e-28
55	WBGene00000069	acy-2	C10F3.3	Live	protein_coding_gene	1.29821679093651	4.47620342412105	1.90347741276637e-23	1.1041556705403e-22
56	WBGene00000070	acy-3	C44F1.5	Live	protein_coding_gene	-0.731202663288417	6.07999788436783	1.408033046691e-16	5.84178716532691e-16
57	WBGene00000071	acy-4	T01C2.1	Live	protein_coding_gene	0.608331469342533	4.03295775596321	4.07496776571965e-05	7.43650463056026e-05
58	WBGene00000072	add-1	F39C12.2	Live	protein_coding_gene	0.393345839374393	4.40486505390005	0.000247225596500587	0.000418480675225317
59	WBGene00000073	add-2	F57F5.4	Live	protein_coding_gene	0.148853204570564	4.20133449026168	0.284089981276856	0.322557215145643
60	WBGene00000074	adm-2	C04A11.4	Live	protein_coding_gene	-0.253163133914459	4.86373865412102	0.111799035243431	0.136282728977481
61	WBGene00000075	adm-4	ZK154.7	Live	protein_coding_gene	-0.465126416499278	3.87716131485886	9.97174241169228e-05	0.000175642964973874
