WB_id	symbol	sequence	live_dead	type	logFC	logCPM	PValue	FDR
1	WBGene00000001	aap-1	Y110A7A.10	Live	protein_coding_gene	0.128679803884249	2.79732775962249	0.485232218629665	1
2	WBGene00000002	aat-1	F27C8.1	Live	protein_coding_gene	-0.033037731530052	4.60764724349965	0.774902549488063	1
3	WBGene00000003	aat-2	F07C3.7	Live	protein_coding_gene	-0.162296353539874	5.42107530748434	0.100754355945091	1
4	WBGene00000004	aat-3	F52H2.2	Live	protein_coding_gene	-0.0334841392453207	5.77620400720705	0.729865962984582	1
5	WBGene00000005	aat-4	T13A10.10	Live	protein_coding_gene	0.461706813794421	2.15840676161366	0.0496374195094676	1
6	WBGene00000006	aat-5	C55C2.5	Live	protein_coding_gene	0.0112672549464757	6.41790423838519	0.920299805599318	1
7	WBGene00000007	aat-6	T11F9.4	Live	protein_coding_gene	0.181289698742658	4.54126042449288	0.169909673657108	1
8	WBGene00000008	aat-7	F54D12.3	Live	protein_coding_gene	-0.265454883483366	0.896114477505206	0.297314856554415	1
9	WBGene00000009	aat-8	F28F9.4	Live	protein_coding_gene	0.119699294257999	1.90760347662332	0.556116744664652	1
10	WBGene00000010	aat-9	Y53H1C.1	Live	protein_coding_gene	-0.0150462360610744	3.20509483195806	0.964615023526018	1
11	WBGene00000013	abf-2	C50F2.10	Live	protein_coding_gene	0.120085508110277	1.12006979583875	0.812320383038709	1
12	WBGene00000016	abf-5	T22H6.5	Live	protein_coding_gene	0.148132817276696	4.243499144033	0.362711436911083	1
13	WBGene00000017	abf-6	T22H6.7	Live	protein_coding_gene	-0.0634170648187561	5.81241244375732	0.714762551083171	1
14	WBGene00000018	abl-1	M79.1	Live	protein_coding_gene	0.0431919390772953	6.07640279077328	0.636698751786422	1
15	WBGene00000020	abt-2	F12B6.1	Live	protein_coding_gene	0.0724361776372634	6.62963911575956	0.446791245356327	1
16	WBGene00000022	abt-4	Y39D8C.1	Live	protein_coding_gene	-0.0329140788141863	5.77666591788993	0.754185196263394	1
17	WBGene00000023	abt-5	Y53C10A.9	Live	protein_coding_gene	-0.347176272129336	1.04860360575619	0.241966242097221	1
18	WBGene00000024	abu-1	AC3.3	Live	protein_coding_gene	-0.397035965850988	0.796402399831387	0.715143544449162	1
19	WBGene00000030	abu-7	C03A7.8	Live	protein_coding_gene	-0.0827604115356067	2.07273635685035	0.943421036811564	1
20	WBGene00000031	abu-8	C03A7.14	Live	protein_coding_gene	0.277122129935284	4.84409979080011	0.753926194128506	1
21	WBGene00000033	abu-10	F35A5.3	Live	protein_coding_gene	0.243271883767334	3.46866958950472	0.797038138183517	1
22	WBGene00000034	abu-11	T01D1.6	Live	protein_coding_gene	0.00818133668455512	3.59039666506211	0.993831705402574	1
23	WBGene00000035	ace-1	W09B12.1	Live	protein_coding_gene	0.0144515251704244	4.78342149442489	0.924767921680933	1
24	WBGene00000036	ace-2	Y44E3A.2	Live	protein_coding_gene	0.0157214685675768	6.5071085009649	0.885665290813965	1
25	WBGene00000037	ace-3	Y48B6A.8	Live	protein_coding_gene	-0.118911078204444	5.2624846685486	0.277591108602694	1
26	WBGene00000038	ace-4	Y48B6A.7	Live	protein_coding_gene	0.0240556022046509	2.74514394181639	0.896159889118302	1
27	WBGene00000039	acn-1	C42D8.5	Live	protein_coding_gene	-0.333671646051559	6.80530374318768	0.63431732305249	1
28	WBGene00000040	aco-1	ZK455.1	Live	protein_coding_gene	0.168274497184257	9.49387129705551	0.183027320812669	1
29	WBGene00000041	aco-2	F54H12.1	Live	protein_coding_gene	-0.115126299184356	10.9544761923881	0.208012521608299	1
30	WBGene00000042	acr-2	K11G12.2	Live	protein_coding_gene	-0.111808083193462	2.52785795966105	0.579647612646444	1
31	WBGene00000043	acr-3	K11G12.7	Live	protein_coding_gene	-0.336943094389128	1.2927897749614	0.139605735320538	1
32	WBGene00000044	acr-5	K03F8.2	Live	protein_coding_gene	-0.0590266270602231	2.37760703274658	0.727992697444715	1
33	WBGene00000046	acr-7	T09A5.3	Live	protein_coding_gene	0.243969350018657	1.66898954971233	0.203568766531276	1
34	WBGene00000047	acr-8	ZC504.2	Live	protein_coding_gene	-0.150145488376807	3.33872693411809	0.287730801546082	1
35	WBGene00000048	acr-9	C40C9.2	Live	protein_coding_gene	-0.0908845201414242	1.45045328372037	0.689155470975959	1
